StartB,MFE,ranked,Sliding_window
1079,31.0,1.0," 1079_5bp-Brkp-35bp
"
1080,31.0,1.0," 1080_10bp-Brkp-30bp
"
1084,31.0,1.0," 1084_10bp-Brkp-30bp
"
1086,31.0,1.0," 1086_20bp-Brkp-20bp
"
1088,31.0,1.0," 1088_10bp-Brkp-30bp
"
1093,31.0,1.0," 1093_35bp-Brkp-5bp
"
1110,31.0,1.0," 1110_20bp-Brkp-20bp
"
1111,31.0,1.0," 1111_5bp-Brkp-35bp
"
1116,31.0,1.0," 1116_10bp-Brkp-30bp
"
1118,31.0,1.0," 1118_20bp-Brkp-20bp
"
1119,31.0,1.0," 1119_5bp-Brkp-35bp
"
1120,31.0,1.0," 1120_10bp-Brkp-30bp
"
1124,31.0,1.0," 1124_10bp-Brkp-30bp
"
1144,31.0,1.0," 1144_10bp-Brkp-30bp
"
1146,31.0,1.0," 1146_20bp-Brkp-20bp
"
1149,31.0,1.0," 1149_35bp-Brkp-5bp
"
1162,31.0,1.0," 1162_20bp-Brkp-20bp
"
1164,31.0,1.0," 1164_10bp-Brkp-30bp
"
1165,31.0,1.0," 1165_35bp-Brkp-5bp
"
1167,31.0,1.0," 1167_5bp-Brkp-35bp
"
1179,31.0,1.0," 1179_5bp-Brkp-35bp
"
1182,31.0,1.0," 1182_20bp-Brkp-20bp
"
1184,31.0,1.0," 1184_10bp-Brkp-30bp
"
1185,31.0,1.0," 1185_35bp-Brkp-5bp
"
1186,31.0,1.0," 1186_20bp-Brkp-20bp
"
1187,31.0,1.0," 1187_5bp-Brkp-35bp
"
1190,31.0,1.0," 1190_20bp-Brkp-20bp
"
1193,31.0,1.0," 1193_35bp-Brkp-5bp
"
1196,31.0,1.0," 1196_10bp-Brkp-30bp
"
1205,31.0,1.0," 1205_35bp-Brkp-5bp
"
1209,31.0,1.0," 1209_35bp-Brkp-5bp
"
1212,31.0,1.0," 1212_10bp-Brkp-30bp
"
1216,31.0,1.0," 1216_10bp-Brkp-30bp
"
1222,31.0,1.0," 1222_20bp-Brkp-20bp
"
1234,31.0,1.0," 1234_20bp-Brkp-20bp
"
1235,31.0,1.0," 1235_5bp-Brkp-35bp
"
1240,31.0,1.0," 1240_10bp-Brkp-30bp
"
1245,31.0,1.0," 1245_35bp-Brkp-5bp
"
1247,31.0,1.0," 1247_5bp-Brkp-35bp
"
1248,31.0,1.0," 1248_10bp-Brkp-30bp
"
1251,31.0,1.0," 1251_5bp-Brkp-35bp
"
1260,31.0,1.0," 1260_10bp-Brkp-30bp
"
1262,31.0,1.0," 1262_20bp-Brkp-20bp
"
1291,31.0,1.0," 1291_5bp-Brkp-35bp
"
1299,31.0,1.0," 1299_5bp-Brkp-35bp
"
1300,31.0,1.0," 1300_10bp-Brkp-30bp
"
1303,31.0,1.0," 1303_5bp-Brkp-35bp
"
1317,31.0,1.0," 1317_35bp-Brkp-5bp
"
1324,31.0,1.0," 1324_10bp-Brkp-30bp
"
1329,31.0,1.0," 1329_35bp-Brkp-5bp
"
1342,31.0,1.0," 1342_20bp-Brkp-20bp
"
1356,31.0,1.0," 1356_10bp-Brkp-30bp
"
1359,31.0,1.0," 1359_5bp-Brkp-35bp
"
1360,31.0,1.0," 1360_10bp-Brkp-30bp
"
1370,31.0,1.0," 1370_20bp-Brkp-20bp
"
1371,31.0,1.0," 1371_5bp-Brkp-35bp
"
1373,31.0,1.0," 1373_35bp-Brkp-5bp
"
1387,31.0,1.0," 1387_5bp-Brkp-35bp
"
1403,31.0,1.0," 1403_5bp-Brkp-35bp
"
1404,31.0,1.0," 1404_10bp-Brkp-30bp
"
1405,31.0,1.0," 1405_35bp-Brkp-5bp
"
1409,31.0,1.0," 1409_35bp-Brkp-5bp
"
1410,31.0,1.0," 1410_20bp-Brkp-20bp
"
1411,31.0,1.0," 1411_5bp-Brkp-35bp
"
1412,31.0,1.0," 1412_10bp-Brkp-30bp
"
1415,31.0,1.0," 1415_5bp-Brkp-35bp
"
1417,31.0,1.0," 1417_35bp-Brkp-5bp
"
1419,31.0,1.0," 1419_5bp-Brkp-35bp
"
1422,31.0,1.0," 1422_20bp-Brkp-20bp
"
1439,31.0,1.0," 1439_5bp-Brkp-35bp
"
1441,31.0,1.0," 1441_35bp-Brkp-5bp
"
1445,31.0,1.0," 1445_35bp-Brkp-5bp
"
1458,31.0,1.0," 1458_20bp-Brkp-20bp
"
1459,31.0,1.0," 1459_5bp-Brkp-35bp
"
1476,31.0,1.0," 1476_10bp-Brkp-30bp
"
1483,31.0,1.0," 1483_5bp-Brkp-35bp
"
1492,31.0,1.0," 1492_10bp-Brkp-30bp
"
1496,31.0,1.0," 1496_10bp-Brkp-30bp
"
1497,31.0,1.0," 1497_35bp-Brkp-5bp
"
1502,31.0,1.0," 1502_20bp-Brkp-20bp
"
1503,31.0,1.0," 1503_5bp-Brkp-35bp
"
1510,31.0,1.0," 1510_20bp-Brkp-20bp
"
1512,31.0,1.0," 1512_10bp-Brkp-30bp
"
1513,31.0,1.0," 1513_35bp-Brkp-5bp
"
1514,31.0,1.0," 1514_20bp-Brkp-20bp
"
1519,31.0,1.0," 1519_5bp-Brkp-35bp
"
1527,31.0,1.0," 1527_5bp-Brkp-35bp
"
1530,31.0,1.0," 1530_20bp-Brkp-20bp
"
1531,31.0,1.0," 1531_5bp-Brkp-35bp
"
1534,31.0,1.0," 1534_20bp-Brkp-20bp
"
1536,31.0,1.0," 1536_10bp-Brkp-30bp
"
1537,31.0,1.0," 1537_35bp-Brkp-5bp
"
1540,31.0,1.0," 1540_10bp-Brkp-30bp
"
1542,31.0,1.0," 1542_20bp-Brkp-20bp
"
1545,31.0,1.0," 1545_35bp-Brkp-5bp
"
1557,31.0,1.0," 1557_35bp-Brkp-5bp
"
1561,31.0,1.0," 1561_35bp-Brkp-5bp
"
1571,31.0,1.0," 1571_5bp-Brkp-35bp
"
1586,31.0,1.0," 1586_20bp-Brkp-20bp
"
1591,31.0,1.0," 1591_5bp-Brkp-35bp
"
1597,31.0,1.0," 1597_35bp-Brkp-5bp
"
1606,31.0,1.0," 1606_20bp-Brkp-20bp
"
1610,31.0,1.0," 1610_20bp-Brkp-20bp
"
1612,31.0,1.0," 1612_10bp-Brkp-30bp
"
1618,31.0,1.0," 1618_20bp-Brkp-20bp
"
1644,31.0,1.0," 1644_10bp-Brkp-30bp
"
1646,31.0,1.0," 1646_20bp-Brkp-20bp
"
1648,31.0,1.0," 1648_10bp-Brkp-30bp
"
1652,31.0,1.0," 1652_10bp-Brkp-30bp
"
1656,31.0,1.0," 1656_10bp-Brkp-30bp
"
1657,31.0,1.0," 1657_35bp-Brkp-5bp
"
1658,31.0,1.0," 1658_20bp-Brkp-20bp
"
1659,31.0,1.0," 1659_5bp-Brkp-35bp
"
1664,31.0,1.0," 1664_10bp-Brkp-30bp
"
1667,31.0,1.0," 1667_5bp-Brkp-35bp
"
1669,31.0,1.0," 1669_35bp-Brkp-5bp
"
1673,31.0,1.0," 1673_35bp-Brkp-5bp
"
1678,31.0,1.0," 1678_20bp-Brkp-20bp
"
1679,31.0,1.0," 1679_5bp-Brkp-35bp
"
1681,31.0,1.0," 1681_35bp-Brkp-5bp
"
1684,31.0,1.0," 1684_10bp-Brkp-30bp
"
1686,31.0,1.0," 1686_20bp-Brkp-20bp
"
1690,31.0,1.0," 1690_20bp-Brkp-20bp
"
1696,31.0,1.0," 1696_10bp-Brkp-30bp
"
1699,31.0,1.0," 1699_5bp-Brkp-35bp
"
1702,31.0,1.0," 1702_20bp-Brkp-20bp
"
1707,31.0,1.0," 1707_5bp-Brkp-35bp
"
1711,31.0,1.0," 1711_5bp-Brkp-35bp
"
1718,31.0,1.0," 1718_20bp-Brkp-20bp
"
1726,31.0,1.0," 1726_20bp-Brkp-20bp
"
1730,31.0,1.0," 1730_20bp-Brkp-20bp
"
1753,31.0,1.0," 1753_35bp-Brkp-5bp
"
1754,31.0,1.0," 1754_20bp-Brkp-20bp
"
1755,31.0,1.0," 1755_5bp-Brkp-35bp
"
1771,31.0,1.0," 1771_5bp-Brkp-35bp
"
1774,31.0,1.0," 1774_20bp-Brkp-20bp
"
1775,31.0,1.0," 1775_5bp-Brkp-35bp
"
1779,31.0,1.0," 1779_5bp-Brkp-35bp
"
1782,31.0,1.0," 1782_20bp-Brkp-20bp
"
1797,31.0,1.0," 1797_35bp-Brkp-5bp
"
1799,31.0,1.0," 1799_5bp-Brkp-35bp
"
1811,31.0,1.0," 1811_5bp-Brkp-35bp
"
1815,31.0,1.0," 1815_5bp-Brkp-35bp
"
1817,31.0,1.0," 1817_35bp-Brkp-5bp
"
